"initial","final","n","topic"
1,2,2,"value"
1,4,1,"value"
2,3,2,"value"
3,3,4,"value"
3,4,3,"value"
4,2,1,"value"
4,3,5,"value"
4,4,20,"value"
1,1,7,"privacy"
1,2,3,"privacy"
1,3,2,"privacy"
2,1,2,"privacy"
2,2,2,"privacy"
2,3,3,"privacy"
3,1,1,"privacy"
3,2,2,"privacy"
3,3,2,"privacy"
3,4,1,"privacy"
4,1,1,"privacy"
4,2,2,"privacy"
4,3,5,"privacy"
4,4,5,"privacy"
1,1,3,"complaints"
1,2,2,"complaints"
1,3,2,"complaints"
1,4,4,"complaints"
2,4,2,"complaints"
3,2,1,"complaints"
3,3,3,"complaints"
3,4,3,"complaints"
4,2,1,"complaints"
4,3,5,"complaints"
4,4,12,"complaints"
1,1,9,"assault"
1,2,8,"assault"
1,3,5,"assault"
1,4,4,"assault"
2,3,1,"assault"
2,4,1,"assault"
3,3,4,"assault"
3,4,1,"assault"
4,3,2,"assault"
4,4,3,"assault"
1,2,2,"transparency"
1,3,1,"transparency"
2,2,1,"transparency"
2,3,2,"transparency"
2,4,2,"transparency"
3,2,2,"transparency"
3,3,6,"transparency"
3,4,7,"transparency"
4,1,1,"transparency"
4,3,6,"transparency"
4,4,8,"transparency"
1,1,2,"behavior"
1,2,4,"behavior"
1,3,3,"behavior"
1,4,8,"behavior"
2,1,1,"behavior"
2,2,2,"behavior"
2,3,3,"behavior"
2,4,1,"behavior"
3,1,1,"behavior"
3,2,1,"behavior"
3,3,4,"behavior"
3,4,2,"behavior"
4,1,1,"behavior"
4,4,5,"behavior"
